uid,rpp,userAgent,query,submitter,isBot,actor,type,owningComm,city,id,previousWorkflowStep,time,scopeType,page,longitude,scopeId,epersonid,workflowItemId,sortOrder,countryCode,dns,owningColl,statistics_type,ip,referrer,sortBy,owner,continent,owningItem,latitude,bundleName,workflowStep,,,,,,,,,,,,,,,
9f17adee-282c-4b6f-960d-b10665faa967,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,16733,,2018-01-03T13:32:32.506Z,,,,,,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,3471,,THUMBNAIL,,,,,,,,,,,,,,,,
7ee914b8-319c-4331-87c8-438a759e354c,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,4,,,26,,2018-01-03T13:33:09.945Z,,,,,,,,,11.222.333.130,,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
2ab74339-a1d5-49e2-87a0-be70f7c62cfe,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,14546,,2018-01-03T13:33:12.771Z,,,,,,,,,11.222.333.130,195,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2643,,THUMBNAIL,,,,,,,,,,,,,,,,
df31be95-a538-4383-9b5e-71e2b499bcca,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,14640,,2018-01-03T13:33:12.804Z,,,,,,,,,11.222.333.130,173,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2666,,THUMBNAIL,,,,,,,,,,,,,,,,
b2854de6-9fa4-45ca-af8f-baaf43574e50,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,15125,,2018-01-03T13:33:12.82Z,,,,,,,,,11.222.333.130,195,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2642,,THUMBNAIL,,,,,,,,,,,,,,,,
f64219a9-b968-4b0f-83bd-87a0c72cd74b,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,14638,,2018-01-03T13:33:12.836Z,,,,,,,,,11.222.333.130,173,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2662,,THUMBNAIL,,,,,,,,,,,,,,,,
d66b45f4-ad4b-4303-a810-e30ff5702a28,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,4,26,,33,,2018-01-03T13:33:14.512Z,,,,,,,,,11.222.333.130,,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,,,,,,,,,,,,,,,,,,,
6b983ac5-13a7-4e2e-bb7b-17393c32086c,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4918,,2018-01-03T13:33:15.361Z,,,,,,,,,11.222.333.130,94,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,951,,THUMBNAIL,,,,,,,,,,,,,,,,
17103ad9-8e71-4b1e-9fd1-50bdf1108a24,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4913,,2018-01-03T13:33:15.378Z,,,,,,,,,11.222.333.130,93,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,949,,THUMBNAIL,,,,,,,,,,,,,,,,
337802d3-fa20-40f0-b397-024313d4cdbc,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4903,,2018-01-03T13:33:15.404Z,,,,,,,,,11.222.333.130,92,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,947,,THUMBNAIL,,,,,,,,,,,,,,,,
4479b6bc-0716-4e96-bc65-0466978c4be6,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4908,,2018-01-03T13:33:15.428Z,,,,,,,,,11.222.333.130,93,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,948,,THUMBNAIL,,,,,,,,,,,,,,,,
5194ae09-58c3-4c3c-a5a5-87a1793c2c5d,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4899,,2018-01-03T13:33:15.438Z,,,,,,,,,11.222.333.130,92,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,946,,THUMBNAIL,,,,,,,,,,,,,,,,
f913d89b-c0c6-4623-a0d4-efe03bb5051b,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,"34,33,26,33,26,26",,951,,2018-01-03T13:33:18.452Z,,,,,,,,,11.222.333.130,94,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/707880,,,,,,,,,,,,,,,,,,,,,,
9d85018d-1da9-4ae6-8d48-fd7067590aff,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"34,33,26,33,26,26",,4920,,2018-01-03T13:33:25.567Z,,,,,,,,,11.222.333.130,94,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1029863,,,,951,,ORIGINAL,,,,,,,,,,,,,,,,
d08d4f37-2cef-45ac-baf8-e6d55b851b2d,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,16736,,2018-01-03T13:34:00.385Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://shibb-idp.georgetown.edu/idp/profile/SAML2/Redirect/SSO?SAMLRequest=lZLNTsMwEIRfJfI9cdLQKLWaSKU9UKnQqAkcuCAn3raWXDt4HaBvT%2FoDFA6VuNqz8%2B3O7hj5TrVs0rmtXsFrB%2Bi8j53SyI4fGemsZoajRKb5DpC5hpWT%2BwUbBCFrrXGmMYp4E0SwTho9NRq7HdgS7Jts4HG1yMjWuRYZpRZag9IZu%2FddzwmUrC23%2B2ADxm7AmXcdgOhouZV1bRS4bYBo6IE2oMWyrIg368uk5gfQjy0e9L4U7V%2Bj%2Fon2La6lgrPLCoS00DhalkvizWcZean5ejSK02SQiLAOh1EtkhG%2FEYKHSbNOhehliB3MNTquXUYGYZT6YeSHcRWlLI7ZMH0mXnFO4lZqIfXmemz1SYTsrqoK%2FzTZE1g8TtULSD4%2BhM%2BOYHuxjuu2%2FGsHJP9n4vid%2BJhekE9ttOyhR81nhVGy2XsTpcz71AJ3kJGI0PxU8vuE8k8%3D&RelayState=ss%3Amem%3A42d6cf8d15939434c4dda505ecea9f565cd573912e739dcbd2d545c04d47d182,,,,3473,,THUMBNAIL,,,,,,,,,,,,,,,,
497c00b0-5d5b-4a6a-bae6-16079fea3631,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,16736,,2018-01-03T13:34:06.448Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,3473,,THUMBNAIL,,,,,,,,,,,,,,,,
c7f3d95e-33b1-4328-9491-47c9b1227b64,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,16731,,2018-01-03T13:34:06.457Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,3474,,THUMBNAIL,,,,,,,,,,,,,,,,
5e074080-2d05-42e0-b653-85411e0a96ec,,,,1,,1,2,"96,96",,3615,STEP3,2018-01-03T13:36:31.867Z,,,,,,134,,,,"188,188",workflow,,,,,,,,,ARCHIVE,,,,,,,,,,,,,,,
a87e5bd3-463c-4d10-b09d-d8c40b0de2b3,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,96,,3615,,2018-01-03T13:36:39.801Z,,,,,0,,,,11.222.333.130,188,view,11.222.333.130,https://myrepo.myinst.edu/submissions,,,,,,,,,,,,,,,,,,,,,,
e1eb8ebf-063e-4c6d-a9e9-442a8685b76a,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,96,,17274,,2018-01-03T13:36:43.795Z,,,,,0,,,,11.222.333.130,188,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3871,,,,3615,,ORIGINAL,,,,,,,,,,,,,,,,
c985b62e-45e1-4c7e-b6dc-2c61142c1392,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,96,,3615,,2018-01-03T13:38:01.812Z,,,,,0,,,,11.222.333.130,188,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
1d9b64d9-8f9d-450c-930b-7b6d29bfdffe,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,9508,,2018-01-03T13:38:02.381Z,,,,,0,,,,11.222.333.130,177,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3871,,,,2256,,THUMBNAIL,,,,,,,,,,,,,,,,
eb4972b6-ff19-4511-93b4-e8b44c4464c3,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,90,,3475,,2018-01-03T13:40:35.196Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
b78c9cff-88ef-4eda-9ae4-f121338d648a,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,90,,3474,,2018-01-03T13:40:36.51Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
f144e8f1-5183-49ae-a9ee-b397db345adc,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"83,78,26,78,26,26",,5528,,2018-01-03T13:40:37.436Z,,,,,0,,,,11.222.333.130,167,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3730,,,,1091,,THUMBNAIL,,,,,,,,,,,,,,,,
4ffaa592-7c64-4fa7-bd4f-a5afcbef33b4,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,7803,,2018-01-03T13:40:37.503Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3730,,,,1696,,THUMBNAIL,,,,,,,,,,,,,,,,
881c15ba-cbe8-47ce-b9ff-c436e993d632,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,14229,,2018-01-03T13:40:37.529Z,,,,,0,,,,11.222.333.130,174,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3730,,,,1496,,THUMBNAIL,,,,,,,,,,,,,,,,
24b4e8f2-dfb1-4427-a2cc-2a33705d7c1a,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,90,,3473,,2018-01-03T13:40:39.449Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
52796f2a-822b-403b-a6a4-bb5575096947,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,90,,3475,,2018-01-03T13:41:08.724Z,,,,,0,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321.2/3731,,,,,,,,,,,,,,,,,,,,,,
f6440a7b-51ae-4591-9882-83d15a9b1ba0,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,5,,,0,,2018-01-03T13:43:47.413Z,,,,,,,,,11.222.333.130,,view,11.222.333.130,https://myrepo.myinst.edu/rest/static/reports/query.html,,,,,,,,,,,,,,,,,,,,,,
f6c4430e-9a59-46a3-9422-d447bcf53278,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,3,4,,222,,2018-01-03T13:43:53.493Z,,,,,0,,,,11.222.333.130,,view,11.222.333.130,https://myrepo.myinst.edu/rest/static/reports/query.html,,,,,,,,,,,,,,,,,,,,,,
8ff66839-4935-4d2e-bfe6-8b774af2e660,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16745,,2018-01-03T13:43:54.927Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,3480,,THUMBNAIL,,,,,,,,,,,,,,,,
985a945b-270c-4da5-a6b7-a17e905ca08a,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16739,,2018-01-03T13:43:54.941Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,3477,,THUMBNAIL,,,,,,,,,,,,,,,,
f30cdbd2-2dcd-4656-980a-44e2b14eb5a1,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16741,,2018-01-03T13:43:54.956Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,3478,,THUMBNAIL,,,,,,,,,,,,,,,,
6d3e957a-5554-4381-9e88-de4e2d347a13,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16737,,2018-01-03T13:43:54.982Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,3476,,THUMBNAIL,,,,,,,,,,,,,,,,
1be1de0c-b870-454d-bc36-b617d4cf4a44,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16743,,2018-01-03T13:43:55.008Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,3479,,THUMBNAIL,,,,,,,,,,,,,,,,
871b0c78-9074-48bb-b874-5404c76b0c94,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,2,4,,3479,,2018-01-03T13:43:57.085Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041655,,,,,,,,,,,,,,,,,,,,,,
b6dbb168-9d5d-4480-a473-1b8c5b71411e,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16929,,2018-01-03T13:43:57.505Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041792,,,,3528,,THUMBNAIL,,,,,,,,,,,,,,,,
6cbd6ecf-f4ac-4d3a-a789-acf4d5e76dac,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,4,,16921,,2018-01-03T13:43:57.509Z,,,,,0,,,,11.222.333.130,222,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1041792,,,,3526,,THUMBNAIL,,,,,,,,,,,,,,,,
